incident_id,timestamp,day_of_week,hour_of_day,attack_type,severity,system_targeted,department_affected,response_time_hrs,systems_affected,data_loss_occurred,outcome
INC0264,2025-10-27 16:00,0,16,Zero-Day Exploit,Medium,Authentication System,Legal,3.8,1,0,Resolved
INC0265,2025-11-22 10:00,5,10,Brute Force,Critical,Web Server,Legal,1.3,1,0,Resolved
INC0266,2025-02-06 04:00,3,4,DDoS,Low,Endpoint,Research,15.8,1,0,Resolved
INC0267,2025-10-25 09:00,5,9,Insider Threat,Low,Network Infrastructure,HR,4.9,1,0,Resolved
INC0268,2025-05-03 01:00,5,1,SQL Injection,Medium,Endpoint,Finance,2.4,1,0,Resolved
INC0269,2025-08-12 06:00,1,6,Ransomware,Medium,Network Infrastructure,IT,1.7,1,0,Resolved
INC0270,2025-03-21 17:00,4,17,SQL Injection,Critical,Endpoint,Research,0.6,4,1,Data Breach
INC0271,2025-02-13 10:00,3,10,Brute Force,Low,Web Server,IT,11.8,2,0,Escalated
INC0272,2025-09-22 07:00,0,7,Insider Threat,Low,Web Server,HR,12.3,1,0,Escalated
INC0273,2025-10-21 14:00,1,14,Ransomware,Medium,Network Infrastructure,Operations,0.7,1,0,Contained
INC0274,2025-08-07 13:00,3,13,Phishing,High,Network Infrastructure,Engineering,1.5,3,0,Contained
INC0275,2025-06-14 09:00,5,9,Brute Force,Medium,Database,IT,2.7,2,0,Contained
INC0276,2025-08-17 08:00,6,8,Brute Force,High,Web Server,Finance,3.1,1,0,Resolved
INC0277,2025-10-07 15:00,1,15,Zero-Day Exploit,Medium,Network Infrastructure,Finance,10.8,1,0,Contained
INC0278,2025-07-10 06:00,3,6,Insider Threat,Medium,Network Infrastructure,Engineering,4.8,2,0,Contained
INC0279,2025-01-21 20:00,1,20,Zero-Day Exploit,Medium,Database,HR,7.6,2,0,Resolved
INC0280,2025-03-25 02:00,1,2,Zero-Day Exploit,High,Authentication System,Finance,2.9,1,0,Resolved
INC0281,2025-09-04 00:00,3,0,Brute Force,Medium,Database,Research,5.9,2,0,Resolved
INC0282,2025-08-10 17:00,6,17,Insider Threat,Critical,Database,HR,1.3,3,0,Escalated
INC0283,2025-08-27 10:00,2,10,Zero-Day Exploit,Medium,Endpoint,Operations,3.3,1,0,Resolved
INC0284,2025-08-15 20:00,4,20,Insider Threat,Medium,Authentication System,IT,9.2,1,0,Escalated
INC0285,2025-04-16 22:00,2,22,Ransomware,High,Cloud Storage,HR,3.3,3,0,Escalated
INC0286,2025-06-01 21:00,6,21,SQL Injection,Medium,Network Infrastructure,IT,2.7,1,0,Contained
INC0287,2025-05-18 03:00,6,3,Phishing,Low,Cloud Storage,Engineering,8.8,1,0,Contained
INC0288,2025-05-27 10:00,1,10,Ransomware,Medium,Email Server,Engineering,5.2,2,0,Escalated
INC0289,2025-04-06 20:00,6,20,Man-in-the-Middle,Low,Authentication System,Research,10.8,2,0,Resolved
INC0290,2025-07-12 00:00,5,0,Zero-Day Exploit,Medium,Cloud Storage,HR,7.8,2,0,Resolved
INC0291,2025-04-07 06:00,0,6,Ransomware,High,Network Infrastructure,Legal,5.2,1,1,Contained
INC0292,2025-06-04 02:00,2,2,Zero-Day Exploit,Medium,Web Server,Operations,0.1,2,0,Resolved
INC0293,2025-02-05 08:00,2,8,Man-in-the-Middle,High,Network Infrastructure,Finance,3.0,2,0,Resolved
INC0294,2025-05-15 06:00,3,6,SQL Injection,Critical,Email Server,Operations,0.2,3,0,Resolved
INC0295,2025-03-17 07:00,0,7,Ransomware,Low,Email Server,Legal,10.9,2,0,Escalated
INC0296,2025-01-13 03:00,0,3,DDoS,Critical,Email Server,Legal,1.2,1,0,Data Breach
INC0297,2025-10-26 14:00,6,14,SQL Injection,High,Database,HR,3.0,3,1,Resolved
INC0298,2025-06-22 09:00,6,9,Phishing,Low,Authentication System,HR,16.4,2,0,Resolved
INC0299,2025-10-30 00:00,3,0,Zero-Day Exploit,Medium,Cloud Storage,Finance,4.5,2,0,Resolved
INC0300,2025-05-09 17:00,4,17,SQL Injection,Low,Email Server,Research,12.0,1,0,Contained
INC0301,2025-11-14 06:00,4,6,Man-in-the-Middle,Low,Endpoint,Research,14.3,1,0,Resolved
INC0302,2025-07-30 17:00,2,17,SQL Injection,Medium,Endpoint,HR,0.4,1,0,Contained
INC0303,2025-12-11 11:00,3,11,Man-in-the-Middle,Medium,Authentication System,Research,0.4,1,0,Resolved
INC0304,2025-04-04 08:00,4,8,Zero-Day Exploit,Low,Database,HR,14.6,2,0,Contained
INC0305,2025-09-19 00:00,4,0,Man-in-the-Middle,Low,Authentication System,IT,10.8,2,0,Resolved
INC0306,2025-10-23 19:00,3,19,Phishing,Medium,Endpoint,Operations,8.8,2,0,Resolved
INC0307,2025-11-04 09:00,1,9,DDoS,Medium,Network Infrastructure,Operations,12.4,1,0,Escalated
INC0308,2025-11-09 00:00,6,0,Phishing,Low,Cloud Storage,Legal,8.6,2,0,Resolved
INC0309,2025-02-05 16:00,2,16,Ransomware,High,Cloud Storage,Legal,3.5,1,0,Contained
INC0310,2025-10-08 14:00,2,14,Brute Force,High,Network Infrastructure,Operations,1.8,4,0,Escalated
INC0311,2025-12-27 05:00,5,5,Phishing,High,Email Server,IT,1.9,2,0,Contained
INC0312,2025-12-10 08:00,2,8,Zero-Day Exploit,Medium,Endpoint,Operations,12.5,1,0,Contained
INC0313,2025-03-13 02:00,3,2,SQL Injection,Medium,Authentication System,IT,,2,0,Contained
INC0314,2025-09-04 18:00,3,18,DDoS,Medium,Web Server,Legal,11.4,2,0,Resolved
INC0315,2025-05-11 16:00,6,16,DDoS,Medium,Network Infrastructure,Engineering,5.7,2,0,Contained
INC0316,2025-03-19 23:00,2,23,Insider Threat,Low,Cloud Storage,IT,10.9,2,0,Contained
INC0317,2025-08-30 06:00,5,6,DDoS,Critical,Cloud Storage,Finance,0.9,3,0,Data Breach
INC0318,2025-12-20 23:00,5,23,Insider Threat,High,Email Server,Engineering,3.1,1,0,Resolved
INC0319,2025-06-15 18:00,6,18,Ransomware,Critical,Web Server,Legal,2.5,5,0,Ongoing
INC0320,2025-09-21 11:00,6,11,Zero-Day Exploit,High,Authentication System,Operations,3.8,5,1,Contained
INC0321,2025-10-05 15:00,6,15,Man-in-the-Middle,Critical,Web Server,Finance,1.5,3,0,Data Breach
INC0322,2025-03-06 09:00,3,9,SQL Injection,High,Network Infrastructure,HR,4.6,1,0,Contained
INC0323,2025-11-08 05:00,5,5,Insider Threat,Medium,Email Server,Legal,5.0,1,0,Resolved
INC0324,2025-11-15 22:00,5,22,Phishing,Low,Web Server,Research,10.8,1,0,Resolved
INC0325,2025-12-16 18:00,1,18,DDoS,High,Cloud Storage,Engineering,3.8,4,0,Contained
INC0326,2025-12-11 19:00,3,19,Zero-Day Exploit,Medium,Network Infrastructure,IT,8.0,1,0,Resolved
INC0327,2025-06-21 03:00,5,3,DDoS,Medium,Authentication System,Legal,4.0,1,0,Resolved
INC0328,2025-03-27 07:00,3,7,DDoS,High,Network Infrastructure,IT,0.6,2,0,Resolved
INC0329,2025-02-14 11:00,4,11,Insider Threat,High,Network Infrastructure,Operations,4.0,1,0,Contained
INC0330,2025-11-18 17:00,1,17,SQL Injection,Critical,Cloud Storage,Engineering,1.1,3,0,Resolved
INC0331,2025-08-29 21:00,4,21,Insider Threat,High,Authentication System,Engineering,6.4,5,0,Contained
INC0332,2025-03-12 04:00,2,4,SQL Injection,Low,Cloud Storage,Operations,12.0,1,0,Resolved
INC0333,2025-01-11 22:00,5,22,DDoS,High,Email Server,Engineering,2.1,1,0,Contained
INC0334,2025-12-16 02:00,1,2,Zero-Day Exploit,Critical,Database,Engineering,1.3,1,0,Escalated
INC0335,2025-08-16 04:00,5,4,Brute Force,High,Cloud Storage,Legal,2.0,3,0,Resolved
INC0336,2025-09-08 07:00,0,7,Phishing,Medium,Cloud Storage,HR,6.8,1,0,Resolved
INC0337,2025-12-18 11:00,3,11,DDoS,Medium,Web Server,Operations,5.4,2,0,Resolved
INC0338,2025-04-30 09:00,2,9,SQL Injection,Low,Network Infrastructure,Research,15.2,2,0,Resolved
INC0339,2025-10-20 08:00,0,8,Man-in-the-Middle,Low,Network Infrastructure,Research,6.0,2,0,Contained
INC0340,2025-11-12 10:00,2,10,Man-in-the-Middle,High,Endpoint,Research,4.6,4,0,Resolved
INC0341,2025-02-20 03:00,3,3,Insider Threat,Low,Email Server,Finance,13.4,2,0,Contained
INC0342,2025-06-24 02:00,1,2,Insider Threat,Low,Database,HR,8.6,2,0,Ongoing
INC0343,2025-02-01 19:00,5,19,Insider Threat,Medium,Web Server,Legal,4.7,2,0,Resolved
INC0344,2025-04-17 17:00,3,17,Zero-Day Exploit,High,Email Server,Research,0.1,3,1,Resolved
INC0345,2025-03-18 17:00,1,17,Man-in-the-Middle,High,Network Infrastructure,Research,4.3,3,0,Resolved
INC0346,2025-06-26 01:00,3,1,Zero-Day Exploit,High,Email Server,Operations,2.9,5,1,Contained
INC0347,2025-06-04 12:00,2,12,Zero-Day Exploit,Critical,Cloud Storage,IT,0.5,3,1,Escalated
INC0348,2025-01-08 10:00,2,10,Insider Threat,Low,Email Server,Finance,5.4,2,0,Resolved
INC0349,2025-05-04 05:00,6,5,Man-in-the-Middle,Low,Database,Operations,6.4,1,0,Resolved
INC0350,2025-03-10 08:00,0,8,DDoS,Critical,Cloud Storage,IT,1.2,4,0,Resolved
